created_at,tweet,sentiment,compound
2019-03-14 22:30, Tom Lee Bitcoin Price on Verge of Racing into Bull Market - CCN  🗨,0.176,0.4588
2019-03-14 22:30,Important notice On March 15 accounts that do not specify the wallet address and Twitter username will be deleted and will not be considered as valid referrals Please provide all the necessary data before March 15 to avoid problems Bitcoin Modern Vision Team ,0.124,0.0516
2019-03-14 22:30,Court Rules Quoine Exchange Liable for Reversing Bitcoin Trades Worth Millions - On The Blockchain  ,0.128,0.2263
2019-03-14 22:31,TamasBlummer BitcoinTina danheld cryptovoices This is a problem that pure software protocols like TCPIP does not have because they dont have incentives baked into the protocol like Bitcoin does Again going back to the tech vs money entanglement issue ,0.115,0.0869
2019-03-14 22:31,Heres bitcoins best use case right now  ,0.412,0.6369
2019-03-14 22:31,CryptoLaughing slavefootjesus MrHodl MatijaHribernik StopAndDecrypt mikeinspace alpacasw vakeraj rm0rf Th3Acist You can read a bit here  ,0.0,0.0
2019-03-14 22:31,HODL To purchase click link in bio crypto cryptofashion cryptonews AvengersEndgame ThursdayWisdom OneDayAtATime bitcoin ripple xrp eth btc love $crypto $btc $ltc $xrp $bat  ,0.284,0.8668
2019-03-14 22:31,Cryptocurrency will lead the way of the African Renaissance according to Marcus Swanepoel cryptocurrency crypto bitcoin cryptonews ,0.0,0.0
2019-03-14 22:31,CryptoDonAlt alistairmilne Didnt you see what they tried to do It was a bottom test Market didnt panic it even rose a little That was unexpected for them So the other followup plans got canceled And they skipped to the press release we will continue with Bitcoin futures like nothing happened  🧐,0.092,0.4218
2019-03-14 22:31,Play at just great dice just roll it with your free bets you can find at their faucet 1BitcoinDice bitcoin ,0.366,0.8689
2019-03-14 22:31,At this years MIT Bitcoin Expo SEC Commissioner HesterPeirce and former CFTC Chairman Gary Gensler launched into a discussion on what regulators can do better to protect investors from fraud and malicious actors  ,0.18,0.296
2019-03-14 22:31,manville1111 CoinAxis PeterRizun This happens all of the time You get your money back less fees as you point out Currently fees on the bitcoin network are like 2 cents If someone abusively closes channels all of time dont deal with them Open a channel somewhere else Also I hope all this channel ,0.096,0.1531
